Complete Payment,Pembayaran Selesai
Valid Until,Berlaku Hingga
Apply On,Ajukan Permohonan Pada
Specific Items,Barang-barang Spesifik
Item Groups,Kelompok Item
Brands,Merek
Entire Transaction,Seluruh Transaksi
Select {0},Pilih {0}
Required,Diperlukan
Search items... (min 2 characters),Cari item... (minimal 2 karakter)
Searching from {0} cached items,Mencari dari {0} item yang di-cache
Select Item Group,Pilih Grup Item
Select Brand,Pilih Merek
Select Item,Pilih Item
Select option,Pilih opsi
Search by name or code...,Cari berdasarkan nama atau kode...
No items found,Tidak ada barang yang ditemukan
Discount Details,Detail Diskon
Discount Type,Jenis Diskon
Discount (%),Diskon (%)
discount ({0}),diskon ({0})
Free Item,Barang Gratis
Search item... (min 2 characters),Cari item... (minimal 2 karakter)
Free Quantity,Jumlah Gratis
Minimum Quantity,Jumlah Minimum
Maximum Quantity,Jumlah Maksimum
Minimum Amount ({0}),Jumlah Minimum ({0})
Maximum Amount ({0}),Jumlah Maksimum ({0})
Delete Promotion,Hapus Promosi
"Are you sure you want to delete <strong>""{0}""<strong>?","Apakah Anda yakin ingin menghapus <strong>""{0}""<strong>?"
This will also delete all associated pricing rules. This action cannot be undone.,Tindakan ini juga akan menghapus semua aturan penetapan harga yang terkait. Tindakan ini tidak dapat dibatalkan.
Percentage,Persentase
Fixed Amount,Jumlah Tetap
Failed to load item groups,Gagal memuat grup item
Failed to load brands,Merek gagal dimuat
Promotion created successfully,Promosi berhasil dibuat.
Failed to create promotion,Gagal membuat promosi
Promotion updated successfully,Promosi berhasil diperbarui.
Failed to update promotion,Promosi gagal diperbarui
Promotion status updated successfully,Status promosi berhasil diperbarui.
Failed to update promotion status,Status promosi gagal diperbarui.
Promotion deleted successfully,Promosi berhasil dihapus.
Failed to delete promotion,Promosi gagal dihapus.
Failed to load promotion details,Detail promosi gagal dimuat.
An error occurred,Terjadi kesalahan
Please enter a promotion name,Silakan masukkan nama promosi
"Promotion ""{0}"" already exists. Please use a different name.","Promosi ""{0}"" sudah ada. Silakan gunakan nama lain."
Please select at least one {0},Silakan pilih setidaknya satu {0}
Partially Paid ({0}),Dibayar Sebagian ({0})
Unpaid ({0}),Belum dibayar ({0})
Overdue ({0}),Terlambat ({0})
Outstanding Payments,Pembayaran Tertunggak
{0} paid,{0} dibayar
No Unpaid Invoices,Tidak Ada Faktur yang Belum Dibayar
All invoices are fully paid,Semua faktur telah dibayar lunas.
No invoices found,Tidak ditemukan faktur.
Date & Time,Tanggal & Waktu
Paid Amount,Jumlah yang Dibayarkan
No draft invoices,Tidak ada draf faktur
Save invoices as drafts to continue later,Simpan faktur sebagai draf untuk dilanjutkan nanti.
Customer: {0},Pelanggan: {0}
Delete draft,Hapus draf
{0} item(s),{0} item
+{0} more,+{0} lainnya
No return invoices,Tidak ada faktur pengembalian
Return invoices will appear here,Faktur pengembalian akan muncul di sini.
Against: {0},Melawan: {0}
Drafts,Draf
Failed to load unpaid invoices,Gagal memuat faktur yang belum dibayar
Select Batch Numbers,Pilih Nomor Batch
Select Serial Numbers,Pilih Nomor Seri
Select Batch Number,Pilih Nomor Batch
Qty: {0},Jumlah: {0}
Exp: {0},Kedaluwarsa: {0}
Select Serial Numbers ({0}/{1}),Pilih Nomor Seri ({0}/{1})
Warehouse: {0},Gudang: {0}
Or enter serial numbers manually (one per line),Atau masukkan nomor seri secara manual (satu per baris)
Enter serial numbers...,Masukkan nomor seri...
Change language: {0},Ubah bahasa: {0}
<strong>{0}</strong> of <strong>{1}</strong> invoice(s),<strong>{0}</strong> dari <strong>{1}</strong> faktur
Clear all,Hapus semua
From Date,Dari Tanggal
To Date,Hingga saat ini
Save these filters as...,Simpan filter ini sebagai...
Saved Filters,Filter Tersimpan
Partial,Sebagian
"Delete ""{0}""?","Hapus ""{0}""?"
Install POSNext,Instal POSNext
Faster access and offline support,Akses lebih cepat dan dukungan offline
Snooze for 7 days,Tidur selama 7 hari
Install,Memasang
Close (shows again next session),Tutup (akan ditampilkan lagi di sesi berikutnya)
Searching...,Sedang mencari...
No options available,Tidak ada pilihan yang tersedia
Clear selection,Hapus pilihan
Load more ({0} remaining),Muat lebih banyak ({0} tersisa)
Search...,Mencari...
Search coupons...,Cari kupon...
Expired,Kedaluwarsa
Exhausted,Lelah
All Types,Semua Jenis
POS Next,POS Berikutnya
View items,Lihat item
View cart,Lihat keranjang
View cart with {0} items,Lihat keranjang dengan {0} item
Hr,Jam
Min,Min
Sec,Detik
{0} paid of {1},{0} membayar dari {1}
Outstanding,Luar biasa
Sales Persons,Tenaga Penjualan
Sales Person,Tenaga Penjual
1 selected,1 terpilih
Selected:,Terpilih:
Total: {0}% (should be 100%),Total: {0}% (seharusnya 100%)
Commission: {0}%,Komisi: 0%
Search to add sales persons,Cari untuk menambahkan tenaga penjualan
Loading sales persons...,Memuat tenaga penjualan...
No sales persons found,Tidak ditemukan tenaga penjualan.
Additional Discount,Diskon Tambahan
% Percent,% Persen
{0} Amount,Jumlah {0}
Select payment method to add,Pilih metode pembayaran untuk ditambahkan
Added,Ditambahkan
Quick amounts for {0},Jumlah cepat untuk {0}
Custom amount,Jumlah khusus
Payment Breakdown,Rincian Pembayaran
Apply Credit,Ajukan Kredit
Pay on Account,Pembayaran secara kredit
Maximum allowed discount is {0}%,Diskon maksimum yang diperbolehkan adalah {0}%
Maximum allowed discount is {0}% ({1} {2}),Diskon maksimum yang diperbolehkan adalah {0}% ({1} {2})
Create new customer,Buat pelanggan baru
Remove customer,Hapus pelanggan
Search or add customer...,Cari atau tambahkan pelanggan...
Search customer in cart,Cari pelanggan di keranjang belanja
Select items to start or choose a quick action,Pilih item untuk memulai atau pilih tindakan cepat.
View current shift details,Lihat detail shift saat ini
View draft invoices,Lihat draf faktur
View invoice history,Lihat riwayat faktur
Process return invoice,Proses pengembalian faktur
Close current shift,Tutup shift saat ini
{0} free item(s) included,{0} item gratis disertakan
+{0} FREE,+{0} GRATIS
Remove {0},Hapus {0}
Remove item,Hapus item
Decrease quantity,Kurangi jumlah
Increase quantity,Tingkatkan kuantitas
Click to change unit,Klik untuk mengubah satuan
Only one unit available,Hanya satu unit yang tersedia
Total Quantity,Jumlah Total
Proceed to payment,Lanjutkan ke pembayaran
Hold order as draft,Tahan pesanan sebagai draf.
Hold,Memegang
Offers,Penawaran
Coupon,Kupon
Edit Item Details,Edit Detail Item
"Edit item quantity, UOM, warehouse, and discount","Edit jumlah item, satuan ukuran, gudang, dan diskon."
Default,Bawaan
Item Discount,Diskon Barang
Percentage (%),Persentase (%)
Checking Stock...,Memeriksa Stok...
No Stock Available,Stok Habis
Update Item,Perbarui Item
"""{0}"" is not available in warehouse ""{1}"". Please select another warehouse.","""{0}"" tidak tersedia di gudang ""{1}"". Silakan pilih gudang lain."
"Only {0} units of ""{1}"" available in ""{2}"". Current quantity: {3}","Hanya ada {0} unit ""{1}"" yang tersedia di ""{2}"". Jumlah saat ini: {3}"
"{0} units available in ""{1}""","{0} unit tersedia di ""{1}"""
Available Offers,Penawaran yang Tersedia
Loading offers...,Memuat penawaran...
Applying offer...,Menerapkan penawaran...
No offers available,Tidak ada penawaran yang tersedia
Add items to your cart to see eligible offers,Tambahkan item ke keranjang belanja Anda untuk melihat penawaran yang berlaku.
APPLIED,TERAPAN
PRICING RULE,ATURAN PENETAPAN HARGA
PROMO SCHEME,SKEMA PROMOSI
{0}% OFF,Diskon 0%
{0} OFF,{0} MATI
Special Offer,Penawaran khusus
#NAME?,#NAME?
Min Purchase,Pembelian Minimum
Min Quantity,Jumlah Minimum
Subtotal (before tax),Subtotal (sebelum pajak)
Add {0} more to unlock,Tambahkan {0} lagi untuk membuka kunci
Remove Offer,Hapus Penawaran
Apply Offer,Ajukan Penawaran
Create Return Invoice,Buat Faktur Pengembalian
Select Invoice to Return,Pilih Faktur yang Akan Dikembalikan
Search by invoice number or customer name...,Cari berdasarkan nomor faktur atau nama pelanggan...
Search by invoice number or customer...,Cari berdasarkan nomor faktur atau pelanggan...
Process Return,Proses Pengembalian
Select Items to Return,Pilih Barang yang Ingin Dikembalikan
⚠️ {0} already returned,� � {0} sudah dikembalikan
Return Qty:,Jumlah Pengembalian:
of {0},dari {0}
No items available for return,Tidak ada barang yang tersedia untuk dikembalikan.
Refund Payment Methods,Metode Pembayaran Pengembalian Dana
#NAME?,#NAME?
Select method...,Pilih metode...
Select payment method...,Pilih metode pembayaran...
Total Refund:,Total Pengembalian Dana:
Payment Total:,Total Pembayaran:
⚠️ Payment total must equal refund amount,?? Jumlah total pembayaran harus sama dengan jumlah pengembalian dana
Return Summary,Ringkasan Pengembalian
Items to Return:,Barang yang Harus Dikembalikan:
Refund Amount:,Jumlah Pengembalian Dana:
"Enter reason for return (e.g., defective product, wrong item, customer request)...","Masukkan alasan pengembalian (misalnya, produk cacat, barang salah, permintaan pelanggan)..."
{0} item(s) selected,{0} item terpilih
Create Return,Buat Pengembalian
OK,OKE
Invoice must be submitted to create a return,Faktur harus diserahkan untuk membuat pengembalian.
Cannot create return against a return invoice,Tidak dapat membuat pengembalian terhadap faktur pengembalian.
All items from this invoice have already been returned,Semua barang dari faktur ini telah dikembalikan.
Return against {0},Kembali terhadap {0}
Failed to create return invoice,Gagal membuat faktur pengembalian.
Failed to load recent invoices,Faktur terbaru gagal dimuat.
{0}: maximum {1},{0}: maksimum {1}
Adjust return quantities before submitting.\n\n{0},Sesuaikan jumlah pengembalian sebelum mengirimkan.\n\n{0}
{0} Pending Invoice(s),{0} Faktur Tertunda
These invoices will be submitted when you're back online,Faktur-faktur ini akan dikirimkan setelah Anda kembali online.
Sync All,Sinkronkan Semua
No pending offline invoices,Tidak ada faktur offline yang tertunda
Walk-in Customer,Pelanggan yang datang langsung
{0} failed,{0} gagal
Payments:,Pembayaran:
Edit Invoice,Edit Faktur
Are you sure you want to delete this offline invoice?,Apakah Anda yakin ingin menghapus faktur offline ini?
This action cannot be undone.,Tindakan ini tidak dapat dibatalkan.
Just now,Baru saja
{0} minutes ago,{0} menit yang lalu
{0} hours ago,0 jam yang lalu
POS Settings,Pengaturan POS
Save Changes,Simpan Perubahan
Loading settings...,Memuat pengaturan...
Stock Management,Manajemen Stok
Configure warehouse and inventory settings,Konfigurasikan pengaturan gudang dan inventaris.
Stock Controls,Kontrol Stok
Warehouse Selection,Pemilihan Gudang
Loading warehouses...,Memuat barang ke gudang...
Active Warehouse,Gudang Aktif
All stock operations will use this warehouse. Stock quantities will refresh after saving.,Semua operasi perstok akan menggunakan gudang ini. Jumlah stok akan diperbarui setelah disimpan.
Stock Validation Policy,Kebijakan Validasi Stok
Allow Negative Stock,Izinkan Stok Negatif
Enable selling items even when stock reaches zero or below. Integrates with ERPNext stock settings.,Memungkinkan penjualan barang bahkan ketika stok mencapai nol atau kurang. Terintegrasi dengan pengaturan stok ERPNext.
Background Stock Sync,Sinkronisasi Stok Latar Belakang
Enable Automatic Stock Sync,Aktifkan Sinkronisasi Saham Otomatis
Periodically sync stock quantities from server in the background (runs in Web Worker),Sinkronkan jumlah stok secara berkala dari server di latar belakang (berjalan di Web Worker)
Sync Interval (seconds),Interval Sinkronisasi (detik)
How often to check server for stock updates (minimum 10 seconds),Seberapa sering server diperiksa untuk pembaruan stok (minimal 10 detik)
Warehouse not set,Gudang belum diatur
Network Usage:,Penggunaan Jaringan:
~15 KB per sync cycle,~15 KB per siklus sinkronisasi
~{0} MB per hour,~{0} MB per jam
Sales Management,Manajemen Penjualan
"Configure pricing, discounts, and sales operations","Konfigurasikan harga, diskon, dan operasional penjualan."
Sales Controls,Kontrol Penjualan
Pricing & Discounts,Harga & Diskon
Tax Inclusive,Harga sudah termasuk pajak
"When enabled, displayed prices include tax. When disabled, tax is calculated separately. Changes apply immediately to your cart when you save.","Saat diaktifkan, harga yang ditampilkan sudah termasuk pajak. Saat dinonaktifkan, pajak dihitung secara terpisah. Perubahan akan langsung berlaku pada keranjang belanja Anda saat Anda menyimpan."
Max Discount (%),Diskon Maksimum (%)
Maximum discount per item,Diskon maksimal per item
Use Percentage Discount,Gunakan Diskon Persentase
Show discounts as percentages,Tampilkan diskon dalam bentuk persentase
Allow Additional Discount,Berikan Diskon Tambahan
Enable invoice-level discount,Aktifkan diskon tingkat faktur
Allow Item Discount,Izinkan Diskon Barang
Enable item-level discount in edit dialog,Aktifkan diskon tingkat item di dialog edit.
Disable Rounded Total,Nonaktifkan Total Pembulatan
Show exact totals without rounding,Tampilkan total yang tepat tanpa pembulatan
Sales Operations,Operasi Penjualan
Allow Credit Sale,Izinkan Penjualan Kredit
Enable sales on credit,Aktifkan penjualan secara kredit
Allow Return,Izinkan Pengembalian
Enable product returns,Aktifkan pengembalian produk
Allow Write Off Change,Izinkan Penghapusan Nominal Kembalian KEcil
Write off small change amounts,Hapuskan uang kembalian kecil.
Allow Partial Payment,Izinkan Pembayaran Sebagian
Enable partial payment for invoices,Aktifkan pembayaran sebagian untuk faktur
Print without confirmation,Cetak tanpa konfirmasi
No POS Profile Selected,Tidak ada Profil POS yang Dipilih
Please select a POS Profile to configure settings,Silakan pilih Profil POS untuk mengkonfigurasi pengaturan.
Failed to load settings,Gagal memuat pengaturan
POS Profile not found,Profil POS tidak ditemukan
Settings saved successfully,Pengaturan berhasil disimpan.
"Settings saved, warehouse updated, and tax mode changed. Cart will be recalculated.","Pengaturan tersimpan, gudang diperbarui, dan mode pajak diubah. Keranjang belanja akan dihitung ulang."
Settings saved and warehouse updated. Reloading stock...,Pengaturan tersimpan dan gudang telah diperbarui. Memuat ulang stok...
Failed to save settings,Gagal menyimpan pengaturan
{0}s ago,{0} detik yang lalu
{0}m ago,0 menit yang lalu
Sign in to POS Next,Masuk ke POS Next
Login Failed,Login Gagal
Enter your username or email,Masukkan nama pengguna atau email Anda
User ID / Email,ID Pengguna / Email
Enter your password,Masukkan kata sandi Anda
Hide password,Sembunyikan kata sandi
Show password,Tampilkan kata sandi
Signing in...,Sedang masuk...
Clear all items,Hapus semua item
View all available offers,Lihat semua penawaran yang tersedia
Apply coupon code,Gunakan kode kupon
Create New Coupon,Buat Kupon Baru
No coupons found,Tidak ditemukan kupon.
Gift,Hadiah
Used: {0}/{1},Digunakan: {0}/{1}
Used: {0},Digunakan: {0}
Select a Coupon,Pilih Kupon
"Choose a coupon from the list to view and edit, or create a new one to get started","Pilih kupon dari daftar untuk melihat dan mengedit, atau buat yang baru untuk memulai."
You don't have permission to create coupons,Anda tidak memiliki izin untuk membuat kupon.
Coupon Details,Detail Kupon
Fill in the details to create a new coupon,Isi detail untuk membuat kupon baru.
View and update coupon information,Lihat dan perbarui informasi kupon.
Create,Membuat
Coupon Name,Nama Kupon
"e.g., Summer Sale Coupon 2025",Contoh: Kupon Diskon Musim Panas 2025
Coupon Type,Jenis Kupon
Promotional,Promosi
Gift Card,Kartu Hadiah
Auto-generated if empty,Dibuat secara otomatis jika kosong
Generate,Menghasilkan
Customer ID or Name,ID atau Nama Pelanggan
Company,Perusahaan
Discount Configuration,Konfigurasi Diskon
Apply Discount On,Terapkan Diskon pada
Net Total,Jumlah Bersih
"e.g., 20","misalnya, 20"
Amount in {0},Jumlah dalam {0}
Minimum Cart Amount,Jumlah Minimum Keranjang Belanja
Optional minimum in {0},Minimum opsional dalam {0}
Maximum Discount Amount,Jumlah Diskon Maksimum
Optional cap in {0},Tutup opsional di {0}
Current Discount:,Diskon Saat Ini:
{0}% off {1},Diskon 0% untuk 1
{0} off {1},{0} mati {1}
(Min: {0}),(Minimum: {0})
(Max Discount: {0}),(Diskon Maksimum: {0})
Validity & Usage,Validitas & Penggunaan
Unlimited,Tak terbatas
Only One Use Per Customer,Hanya untuk Satu Kali Penggunaan Per Pelanggan
Coupon Status & Info,Status & Info Kupon
Current Status,Status Saat Ini
Created On,Dibuat Pada
Last Modified,Terakhir Diubah
Delete Coupon,Hapus Kupon
-- No Campaign --,-- Tanpa Kampanye --
Failed to load coupons,Gagal memuat kupon
Failed to load coupon details,Detail kupon gagal dimuat.
Coupon created successfully,Kupon berhasil dibuat.
Failed to create coupon,Gagal membuat kupon
Coupon updated successfully,Kupon berhasil diperbarui.
Failed to update coupon,Kupon gagal diperbarui
Coupon status updated successfully,Status kupon berhasil diperbarui
Failed to toggle coupon status,Gagal mengubah status kupon
Coupon deleted successfully,Kupon berhasil dihapus.
Failed to delete coupon,Gagal menghapus kupon
Please enter a coupon name,Silakan masukkan nama kupon
Please select a discount type,Silakan pilih jenis diskon
Please enter a valid discount percentage (1-100),Silakan masukkan persentase diskon yang valid (1-100)
Please enter a valid discount amount,Silakan masukkan jumlah diskon yang valid.
Please select a customer for gift card,Silakan pilih pelanggan untuk kartu hadiah.
Cannot delete coupon as it has been used {0} times,Kupon tidak dapat dihapus karena telah digunakan {0} kali.
Add to Cart,Tambahkan ke Keranjang
Warehouse,Gudang
Search products...,Cari produk...
Item Code,Kode Barang
Brand,Merek
Transaction,Transaksi
"e.g., Summer Sale 2025","misalnya, Diskon Musim Panas 2025"
Pricing Rules,Aturan Penetapan Harga
Promo Schemes,Skema Promosi
Return Reason,Alasan Pengembalian
"Settings saved. Tax mode is now ""inclusive"". Cart will be recalculated.","Pengaturan tersimpan. Mode pajak sekarang ""inklusif"". Keranjang belanja akan dihitung ulang."
"Settings saved. Tax mode is now ""exclusive"". Cart will be recalculated.","Pengaturan tersimpan. Mode pajak sekarang ""eksklusif"". Keranjang belanja akan dihitung ulang."
"This will clear all cached items, customers, and stock data. Invoices and drafts will be preserved.","Ini akan menghapus semua item, pelanggan, dan data stok yang tersimpan dalam cache. Faktur dan draf akan tetap tersimpan."
Clear All Data,Hapus Semua Data
Clearing...,Membersihkan...
Confirm Clear Cache,Konfirmasi Hapus Cache
Manage Invoices,Kelola Faktur
Outstanding,Luar biasa
No Outstanding,Tidak Ada Tunggakan
Pay Outstanding,Pembayaran Tertunggak
View Outstanding,Pemandangan Luar Biasa
Search invoices...,Cari faktur...
Invoice Management,Manajemen Faktur
All Invoices,Semua Faktur
Draft,Draf
Return,Kembali
Load More,Muat Lebih Banyak
No more invoices,Tidak ada lagi faktur
Failed to load invoices,Gagal memuat faktur
Apply Filter,Terapkan Filter
Reset Filter,Atur Ulang Filter
Filter by Status,Saring berdasarkan Status
Filter by Date,Filter berdasarkan Tanggal
Show All,Tampilkan Semua
Shift Details,Rincian Shift
Shift ID,ID Shift
Cashier,Kasir
Current Time,Waktu Saat Ini
Cash Sales,Penjualan Tunai
Card Sales,Penjualan Kartu
Other Sales,Penjualan Lainnya
Total Transactions,Total Transaksi
Average Transaction,Transaksi Rata-Rata
Shift Summary,Ringkasan Pergeseran
View Full Report,Lihat Laporan Lengkap
Print Report,Cetak Laporan
Export Data,Ekspor Data
Quick Actions,Tindakan Cepat
New Sale,Penjualan Baru
Returns,Pengembalian
Recent Activity,Aktivitas Terkini
No recent activity,Tidak ada aktivitas terbaru.
Show All Activity,Tampilkan Semua Aktivitas
Keyboard Shortcuts,Pintasan Keyboard
Press F1 for help,Tekan F1 untuk bantuan
Press Enter to search,Tekan Enter untuk mencari
Press Esc to close,Tekan Esc untuk menutup
Scanning...,Memindai...
Scan Complete,Pemindaian Selesai
Scan Failed,Pemindaian Gagal
Invalid Barcode,Kode Batang Tidak Valid
Item Scanned,Barang Dipindai
Multiple Results,Beberapa Hasil
Select Item,Pilih Item
Enter Quantity,Masukkan Jumlah
Set Price,Harga Tetap
Custom Price,Harga Khusus
Original Price,Harga Asli
New Price,Harga Baru
Price Changed,Harga Berubah
Discount Applied,Diskon Berlaku
Offer Applied,Penawaran telah diterapkan.
Coupon Applied,Kupon telah diterapkan.
Free Items Added,Barang Gratis Ditambahkan
Bundle Items,Bundel Barang
View Bundle,Lihat Paket
Expand Bundle,Perluas Bundel
Collapse Bundle,Bundel Ciutkan
Stock Warning,Peringatan Stok
Low Stock Warning,Peringatan Stok Menipis
Only {0} left in stock,Hanya tersisa {0} stok
Continue Anyway,Lanjutkan saja
Check Other Warehouses,Periksa Gudang Lainnya
Transfer Stock,Transfer Stok
Reserve Stock,Stok Cadangan
Stock Reserved,Stok Dicadangkan
Reservation Expired,Reservasi Telah Kedaluwarsa
Extend Reservation,Perpanjang Reservasi
Release Reservation,Reservasi Rilis
Customer Account,Akun Pelanggan
Credit Limit,Batas Kredit
Available Credit,Kredit Tersedia
Credit Used,Kredit yang Digunakan
Credit Exceeded,Kredit Terlampaui
Requires Approval,Membutuhkan Persetujuan
Request Approval,Permohonan Persetujuan
Approval Pending,Persetujuan Tertunda
Approved,Disetujui
Rejected,Ditolak
Loyalty Points,Poin Loyalitas
Points Balance,Saldo Poin
Redeem Points,Tukarkan Poin
Points to Redeem,Poin yang Dapat Ditukarkan
Points Value,Nilai Poin
Points Earned,Poin yang Didapatkan
Points Redeemed,Poin yang Ditukarkan
Split Payment,Pembayaran Terpisah
Add Split,Tambahkan Pemisah
Remove Split,Hapus Pemisahan
Split Amount,Jumlah yang Dibagi
Remaining to Pay,Sisa Pembayaran
Payment Complete,Pembayaran Selesai
Print Options,Opsi Cetak
Print Preview,Pratinjau Cetak
Printer Settings,Pengaturan Printer
Select Printer,Pilih Printer
Default Printer,Printer Default
Paper Size,Ukuran Kertas
Print Copies,Salinan Cetak
Include Logo,Sertakan Logo
Include QR Code,Sertakan Kode QR
Include Barcode,Sertakan Kode Batang
Compact Mode,Mode Ringkas
Full Mode,Mode Penuh
Email Receipt,Tanda Terima Email
SMS Receipt,Tanda Terima SMS
WhatsApp Receipt,Tanda Terima WhatsApp
Receipt Sent,Tanda Terima Terkirim
Failed to Send,Pengiriman Gagal
Retry,Mencoba kembali
Skip,Melewati
Done,Selesai
Finish,Menyelesaikan
Complete Sale,Penjualan Lengkap
New Transaction,Transaksi Baru
Continue Shopping,Lanjutkan Berbelanja
Start New Sale,Mulai Penjualan Baru
View Receipt,Lihat Tanda Terima
Download Receipt,Unduh Tanda Terima
Share Receipt,Tanda Terima Saham
Copy Link,Salin Tautan
Link Copied,Tautan Disalin
Invoice loaded to cart for editing,Faktur telah ditambahkan ke keranjang untuk diedit.
Campaign,Kampanye
Referral Code,Kode Referensi
Times Used,Kali Digunakan
Maximum Use,Penggunaan Maksimum
"Are you sure you want to delete <strong>""{0}""<strong>?","Apakah Anda yakin ingin menghapus <strong>""{0}""<strong>?"
"Return Reason <span class=""text-gray-400"">(optional)</span>","Alasan Pengembalian <span class=""text-gray-400"">(opsional)</span>"
Return Reason &lt;span class=&quot;text-gray-400&quot;&gt;(optional)&lt;/span&gt;,Alasan pengembalian &lt;span class=&quot;text-gray-400&quot;&gt;(opsional)&lt;/span&gt;
"<strong>Note:<strong> When enabled, the system will allow sales even when stock quantity is zero or negative. This is useful for handling stock sync delays or backorders. All transactions are tracked in the stock ledger.","<strong>Catatan:<strong> Saat diaktifkan, sistem akan mengizinkan penjualan meskipun jumlah stok nol atau negatif. Ini berguna untuk menangani penundaan sinkronisasi stok atau pesanan tertunda. Semua transaksi dilacak dalam buku besar stok."
<strong>Status:<strong> Running,<strong>Status:<strong> Berjalan
<strong>Status:<strong> Stopped,<strong>Status:<strong> Berhenti
<strong>Items Tracked:<strong> {0},<strong>Item yang Dilacak:<strong> {0}
<strong>Warehouse:<strong> {0},Gudang: {0}
<strong>Last Sync:<strong> {0},<strong>Sinkronisasi Terakhir:<strong> {0}
<strong>Last Sync:<strong> Never,<strong>Sinkronisasi Terakhir:<strong> Tidak Pernah
Cart subtotal BEFORE tax - used for discount calculations,Subtotal keranjang belanja SEBELUM pajak - digunakan untuk perhitungan diskon
Draft invoice deleted,Draf faktur dihapus
Failed to delete draft invoice,Gagal menghapus draf faktur
Search sales person...,Cari tenaga penjualan...
Item Group,Kelompok Item
Mobile,Ponsel
Clear Cache?,Hapus Cache?
Clearing Cache...,Menghapus Cache...
Please wait while we clear your cached data,Mohon tunggu sementara kami menghapus data cache Anda.
<strong>Company:<strong>,<strong>Perusahaan:<strong>
<strong>Opened:</strong> {0},<strong>Dibuka:</strong> {0}
<strong>Opened:<strong>,<strong>Dibuka:<strong>
<strong>POS Profile:</strong> {0},<strong>Profil POS:</strong> {0}
<strong>POS Profile:<strong> {0},<strong>Profil POS:<strong> {0}
(FREE),(GRATIS)
Are you sure you want to sign out of POS Next?,Apakah Anda yakin ingin keluar dari POS Next?
At least {0} items required,Setidaknya {0} item diperlukan
Create new customer: {0},Buat pelanggan baru: {0}
Creating return for invoice {0},Membuat pengembalian untuk faktur {0}
Enter actual amount for {0},Masukkan jumlah sebenarnya untuk {0}
Exception: {0},Pengecualian: {0}
"Expected: <span class=""font-medium"">{0}</span>","Diharapkan: <span class=""font-medium"">{0}</span>"
From {0},Dari {0}
Invoice - {0},Faktur - {0}
Invoice ID: {0},ID Faktur: {0}
Invoice {0} created and sent to printer,Faktur {0} dibuat dan dikirim ke printer
Invoice {0} created but print failed,Faktur {0} dibuat tetapi pencetakan gagal
Invoice {0} created successfully,Faktur {0} berhasil dibuat
Invoice {0} created successfully!,Faktur {0} berhasil dibuat!
Item: {0},Item: {0}
Maximum cart value exceeded ({0}),Nilai keranjang belanja maksimum terlampaui ({0})
Maximum {0} items allowed for this offer,Jumlah maksimum {0} item diperbolehkan untuk penawaran ini
Message: {0},Pesan: {0}
Minimum cart value of {0} required,Nilai keranjang minimum {0} diperlukan
No pending invoices to sync,Tidak ada faktur tertunda yang perlu disinkronkan.
Opening Balance (Optional),Saldo Awal (Opsional)
Over {0},Lebih dari {0}
POS Profile: {0},Profil POS: {0}
Promotion saved successfully,Promosi berhasil disimpan.
Remove all {0} items from cart?,Hapus semua {0} item dari keranjang?
Return invoice {0} created successfully,Faktur pengembalian {0} berhasil dibuat
Search by email: {0},Cari berdasarkan email: {0}
Search by phone: {0},Cari berdasarkan telepon: {0}
Shift Open,Shift Terbuka
Short {0},Pendek {0}
Sign in,Masuk
Sign out,Keluar
Signing out...,Mengakhiri sesi...
Status: {0},Status: {0}
Switched to {0}. Stock quantities refreshed.,Beralih ke {0}. Jumlah stok diperbarui.
Technical: {0},Teknis: {0}
Timestamp: {0},Cap waktu: {0}
Title: {0},Judul: {0}
Total: {0},Total: {0}
Type: {0},Tipe: {0}
Unit changed to {0},Unit diubah menjadi {0}
Until {0},Sampai {0}
User: {0},Pengguna: {0}
View cart with {0} items,Lihat keranjang dengan {0} item
Warehouse updated but failed to reload stock. Please refresh manually.,Gudang telah diperbarui tetapi gagal memuat ulang stok. Silakan perbarui secara manual.
Welcome to POS Next!,Selamat datang di POS Next!
You have an open shift. Would you like to resume it or close it and open a new one?,Anda memiliki jadwal kerja yang terbuka. Apakah Anda ingin melanjutkannya atau menutupnya dan membuka jadwal kerja baru?
Your cart doesn't meet the requirements for this offer.,Keranjang belanja Anda tidak memenuhi persyaratan untuk penawaran ini.
{0} ({1}) added to cart,{0} ({1}) ditambahkan ke keranjang
{0} added to cart,{0} ditambahkan ke keranjang
{0} applied successfully,{0} diterapkan dengan sukses
{0} created and selected,{0} dibuat dan dipilih
{0} invoice(s) failed to sync,{0} faktur gagal disinkronkan
{0} invoice(s) synced successfully,{0} faktur berhasil disinkronkan
{0} invoices,0 faktur
{0} selected,{0} dipilih
{0} settings applied immediately,{0} pengaturan diterapkan segera
{0} transactions • {1},{0} transaksi � {1}
{0} updated successfully,{0} berhasil diperbarui
{0}h {1}m,{0}jam {1}menit
{0}m,0 m
✓ Connection successful: {0},? Koneksi berhasil: {0}
✗ Connection failed: {0},? Koneksi gagal: {0}
Manage all your invoices in one place,Kelola semua faktur Anda di satu tempat.
All ({0}),Semua ({0})
Promotions,Promosi
Search serial numbers...,Cari nomor seri...
Loading serial numbers...,Memuat nomor seri...
No serial numbers available,Tidak ada nomor seri yang tersedia.
No serial numbers match your search,Tidak ada nomor seri yang cocok dengan pencarian Anda.
Serial Numbers,Nomor Seri
